"subj","alpha_mean","alpha_sd","beta_mean","beta_sd","gamma_mean","gamma_sd","log_delta_mean","log_delta_sd","delta_mean","delta_sd","waic"
99,0.678477963681184,0.611563491778036,-0.74691265701127,0.554583691086492,2.21133989871296,1.12483700484475,-0.00794330583653932,1.01127125220229,1.74501467920656,1.95287530489854,NA
100,0.408383655797372,0.124006781516811,0.0058789541959797,0.918861716153165,2.68995510714174,1.71745887219224,1.04054447256196,0.598432798514975,3.27107611564862,1.42701310734687,NA
101,0.757551431326386,0.541872957157723,-0.0625349564152259,1.4392657590026,2.01185572509498,2.0274764285118,-0.601239636262576,0.633146000669645,0.689496795539623,0.520132675392855,NA
102,2.20007688295684,1.62297881510779,0.410341243441079,1.43223777223843,1.41433396676486,1.21847181571601,-0.650199073344423,1.23238197153592,1.25846207245147,1.71188541532066,NA
103,1.20626710685217,1.73872807116535,0.292606699976044,1.18446581812778,1.93023972014513,2.63692128546023,0.315003628556833,0.495299964933302,1.57908356608838,0.948909708402176,NA
104,1.0529075884984,0.889925538182769,0.736782045400795,1.17511086675814,3.14183908666143,1.80245126619127,-0.862902839636463,0.587760551810095,0.488949802774912,0.231363469085101,NA
105,0.920867675507912,0.63673816412151,-0.617907042289304,0.851518800509507,0.835767764049524,0.630447792815552,-0.0460158978391882,1.14473199008653,1.71315137931681,1.64277917505824,NA
106,1.00470392880969,0.552940124349034,-0.349009306770976,1.23654846558948,1.73027162752613,1.61049668660278,-0.0184377773660393,0.931121929249941,1.44366519448765,1.08125042035639,NA
107,2.26773264041392,2.41697857686311,0.282154792313732,1.04398859164096,1.2401766448577,1.12999635651349,-0.222444261174924,0.291644808962428,0.838961439466943,0.280746580571728,NA
108,0.554422011937931,0.249494736046541,-0.382296808913917,0.830378812339783,2.46724452087326,2.26312193290755,-0.12485418053704,1.10264391678711,1.52925600205447,1.41301983168178,NA
109,2.22364372762526,1.91282215503394,-0.0329122179975104,1.03478430809565,1.16673876633053,1.18048421699917,0.0760061487052781,1.04337224444769,1.86722768320335,1.92303983585488,NA
110,0.972015777496648,1.00166969912621,0.344378242273925,0.827042820200131,2.57687385002701,2.51098254601122,-0.446990897923394,1.00631080028072,1.08753306256229,1.15589180798804,NA
111,2.26807020021506,1.8262809293018,-0.875821465954133,0.966992124194482,1.06862257644832,1.06612370313308,-0.299421996147559,0.820272732621058,0.991224709494839,0.652035595393679,NA
