"subj","waic","n_trials","logit_alpha_mean","logit_alpha_sd","log_beta_mean","log_beta_sd","log_gamma_mean","log_gamma_sd","tau_mean","tau_sd","alpha_mean","alpha_sd","beta_mean","beta_sd","gamma_mean","gamma_sd"
95,20.911829380348,15,-2.80061298798119,10.3601798493782,-5.3318283842702,8.03300067894721,-0.73850611997643,9.93128406035973,-0.881376548072926,10.314562945242,0.371477824829072,0.446820556203546,1737168.68085266,60330789.4417017,365653083395.544,16668390649156.4
96,23.316693731301,19,-1.40465819681244,8.87538596993402,1.27481640407353,7.54800283024097,0.557464799015425,10.060809360672,0.671195327546838,9.68838628870081,0.379716982136281,0.437484454758516,1102424046.71887,89320024265.9442,3005937205232.93,237121893691902
97,27.832393388653,20,-3.12219764509028,10.3870203021854,-5.59367335652333,8.09930746330259,-0.868583027355189,10.0530233283098,-1.03671299792423,10.5134870859942,0.361263371369088,0.445706227077461,1428396.39527418,77078283.6873581,845606555224.09,72943808174393
98,25.1758034425286,19,0.217968949511459,9.69279343063397,-0.93156371592453,7.37825340505936,0.00878965933081862,10.1464109905551,0.199188142208878,9.7570010840107,0.502353715593734,0.455663610238605,58824416.4222596,2332474830.72745,693543220784279,75532634697907904
99,23.676095174295,17,-2.95788491121306,10.3873133503513,-5.5105912814393,8.169277870708,-0.648816854417823,9.88933819146149,-1.10466570891504,10.2548047953994,0.372294363092277,0.447693610901279,38519021.8525241,2813104930.42102,1184637567947.2,121680790084835
100,27.9439365684951,20,-1.9881101560377,9.72260402724385,-2.9719432811899,8.39233712335358,-0.395084733721023,9.9933084943861,-0.225567066644504,10.0732017488,0.388040542186486,0.444959120196563,103206919.5495,4450460413.33228,12265795540261,1253586272473398
101,21.8116760454961,19,-0.902144974057609,8.65133908939411,2.46249855038828,6.94893466558018,0.511795851022812,9.84272630989374,0.806233755772614,9.97526744468081,0.39833393645115,0.439748611166748,47272858.9353843,1779192180.96492,388483025204752,34702305470803564
102,27.6187007864567,20,-1.08558326395033,10.0311595386087,-3.58477093292802,7.8404524471046,-0.218978511866359,9.82104107181755,-0.384764451885001,10.1715375736374,0.4532928571525,0.459532223868471,3747901.69743157,156044064.284836,185072196124.29,9737296055715.44
103,15.094956746612,19,0.0308951960050592,8.15350393878435,4.0150230932195,5.31332549994164,1.07239803395772,9.81919775386208,0.774474128734644,9.31981125002308,0.438646938867373,0.441018047408415,385159490.323047,17719090382.6394,4232044862887.38,263322170109992
104,27.79193752672,20,-1.82690191376869,10.3910449419238,-4.49246273169364,7.96131729437582,-0.548471405798076,10.0661717446734,-0.6461447656592,10.0099165969166,0.417867378433514,0.455966617054254,41942027.1747422,2353336334.35197,991096132884.296,54346643059044.5
