"subj","alpha_mean","beta_mean","gamma_mean","tau_mean","logit_alpha_mean","log_beta_mean","log_gamma_mean"
133,0.356126139080588,3661930.19947068,176404338964.022,-1.07932062686813,-3.23415013705694,-5.6982693559184,-1.06531665350498
134,0.4838044938156,72459850.1608559,2563107006736.8,0.0811092740939474,-0.237262589702433,-2.48701578870348,-0.133361178284357
135,0.358259758478306,196002930.449308,5240391881617.91,1.00990169204865,-1.49062676763695,2.93388174523641,0.738152664221259
136,0.387831080649668,189469640.84881,2649469624477.94,-0.76534023152046,-2.41496061384603,-4.94589373835829,-0.688316519754928
137,0.455084239291994,401325997.246926,332890030841170,1.01432477609462,0.27356383576898,3.13338217125876,0.802283493596714
138,0.446144269728768,43229274.9060768,40180043454496.1,-0.11054425280029,-0.902718128917733,-2.4049966129113,-0.06248988664423
139,0.397589587922269,3743810.17510585,10619761827437.5,-0.560291968467357,-2.34153713245469,-5.21221952812164,-0.629846958475494
140,0.372618456516571,993865966.736492,33681393807256.6,-0.839297292874944,-2.80055729151122,-5.32471576892485,-0.54559136087504
141,0.377154268804846,11812968.6077748,2514202282686.24,-1.16018086627675,-2.72609568298913,-5.43817059988134,-0.870314457910774
142,0.367000600873192,760683734.582557,1198468512954.87,0.266869340767379,-2.29498252806706,-1.14075887658857,-0.0867247425807479
143,0.390028230330841,3571296789.2407,13880922121434.2,-0.137580715358877,-1.99389508181118,-3.010090726301,-0.153492881801695
144,0.413905157892337,83941980.641378,1629318535002.37,1.20395951973328,-0.515480815034256,3.28798324236113,0.728387275112153
145,0.362312958159271,380196004.446565,642662807455.31,-1.07256130433054,-3.04084377536679,-5.7396089515107,-0.657496262116765
146,0.361180888142059,6059927.97740554,304865875169129,-1.21881741593059,-3.09368943171596,-5.59790609862994,-0.870224308040469
147,0.499002034872879,880126044.200657,5380823191635.21,0.885363164657059,0.943991585546669,3.71241004762634,0.83188312375423
148,0.479714622886969,615986258.00551,27576846456226.4,1.28809508066423,0.530402272540327,3.05165397909188,0.425465462197803
149,0.378993667160854,9211952.19152255,460727986368.776,-0.665704903259855,-2.36797443967094,-3.62774871197513,-0.561112426031692
150,0.391163217250194,43218389.3227236,2057388939170.88,0.413141019651467,-1.63987538214914,-0.382998809167675,0.111635567146789
151,0.373293267548838,2296850.71984564,3564936907626.94,-0.900636875984121,-2.8610574138651,-5.39945872649274,-0.613733905622148
152,0.399677448448997,2795863222.19141,2219892074923.43,0.569506456225187,-1.04267958289532,1.53183866862725,0.44375505659513
153,0.377187764765122,2009148.11854717,77524191689.0135,-0.821532551793694,-2.70813830822964,-5.32684799880637,-0.809984517735624
154,0.423346823136102,2890352265.07119,3809340655158.72,-0.487376604622771,-1.75914132010523,-3.99188988366563,-0.248308358156464
155,0.409306420147282,111001522.105496,575357178420.043,-0.306852421832854,-1.63038979150448,-3.09969897221192,-0.300142051358089
156,0.520456392243987,9791874.2669015,124293385429507248,-0.217218178941604,0.401509903883557,-1.85305615843116,-0.122477265120459
157,0.388613022475324,6760738.04564097,104253537001058,-0.98536445418328,-2.31229204445351,-5.15940284121941,-0.68279904425824
158,0.377010409554163,3006698.31275031,65249674564260.4,-0.790345338476727,-2.7353430347008,-5.61264435430332,-0.651210081807684
159,0.412933410940965,22251592.6345864,124553885963.14,-0.856087322005918,-1.77002465282966,-4.32983702679153,-0.432669844223348
160,0.360062795495453,28770291.2797402,146572618328.786,-1.22374615481124,-3.03401817843463,-5.83046497027777,-0.902120210983777
161,0.464569592342228,550566389.362372,512218872186.892,1.42115731712494,0.293763594511779,3.29279579738464,0.624546203430636
162,0.372546507254456,153663509.777675,49974256310049,-0.487591366753278,-2.60834283800793,-4.27552273591403,-0.562046192582142
163,0.352136235992602,39040359.9183955,793898976183.063,-1.06383193461513,-3.35975912513405,-5.5699271279708,-0.769298092321118
164,0.392409423101881,832823384.07904,103048665861506,-0.1864897643063,-1.78221569836967,-1.28094459725562,-0.244752418605504
165,0.434658346808783,1613809456.71819,1310171544371.81,1.10598293815458,-0.190490928356659,3.06267427968721,0.914277171292914
166,0.471894215808598,1021978716.15464,1749624566219325,0.386552545134601,-0.166398778903077,-0.159719410766415,0.212017446589494
167,0.365206735487778,11808522.5112931,349089812591168,-0.989264577869536,-2.9405713084781,-5.57425142011767,-0.779952331546199
168,0.357794861093133,839256374.180076,105146343805503,-0.913407880223367,-3.1839253207653,-5.78392496716576,-0.658950130987245
169,0.458115532019788,150778960.273912,536673560607.22,-0.194778613691052,-0.416730133975914,-0.745220426776605,-0.287220746688772
170,0.400191129403103,84965131.6096083,5250612434868.78,-0.358609274933189,-2.02235243932875,-3.87441239628718,-0.551285155181324
171,0.37838003195762,29177364.7404026,241274832277644,-0.796543706077619,-2.54067000346441,-4.74052914636066,-0.626865682235621
172,0.367846032987327,1430044.90446628,860178959807.215,-0.996601718275611,-2.95719073480571,-5.4477063741504,-0.628027248327663
173,0.576596981451926,12860052.3320247,503969313499.047,-0.339468662245722,1.36598996220786,-2.98081744767048,-0.0941076389161237
174,0.361531508552067,243877033.699766,1754185481374.67,-1.07906022432678,-3.10830306668492,-5.74140588809613,-0.972476845618446
175,0.385191948870608,2113141921982.55,874250589282.736,1.19925477562312,-0.899432126679159,3.23386465665067,0.488754950837713
176,0.420977763323158,10013123.7515592,4788569630281650,0.292383563403126,-1.10124273971085,-1.43385450179406,0.10996298550359
177,0.443141811742959,1700607.30026476,887713839486.776,-0.843075346194395,-1.32795873029586,-4.32229884273267,-0.655103243316718
178,0.388401315636992,491928820.164608,239789498497.525,-0.797549430461664,-2.36796354565815,-4.68171699903558,-0.59740413297178
179,0.397418296861684,12796221.6833978,504177726999.504,-0.942346894497353,-2.19376863197186,-5.10100730990995,-0.733633311355184
180,0.38031331846807,32106964.8295244,262643390211.772,-0.674748032775131,-2.85749157372264,-5.15242610189218,-0.641649542954728
